date,us_total_cases,us_new_cases,us_new_deaths,us_total_deaths
2021-07-03,33713870,4739.0,80.0,605493.0
2021-07-02,33709131,29698.0,394.0,605413.0
2021-07-01,33679433,14463.0,305.0,605019.0
2021-06-30,33664970,12872.0,240.0,604714.0
2021-06-29,33652098,11596.0,331.0,604474.0
2021-06-28,33640502,15083.0,150.0,604143.0
2021-06-27,33625419,3920.0,74.0,603993.0
2021-06-26,33621499,7303.0,147.0,603919.0
2021-06-25,33614196,23715.0,498.0,603772.0
2021-06-24,33590481,12830.0,341.0,603274.0
2021-06-23,33577651,12436.0,375.0,602933.0
2021-06-22,33565215,10940.0,323.0,602558.0
2021-06-21,33554275,12334.0,268.0,602235.0
2021-06-20,33541941,3892.0,88.0,601967.0
2021-06-19,33538049,8520.0,173.0,601879.0
2021-06-18,33529529,20591.0,594.0,601706.0
2021-06-17,33508938,10393.0,284.0,601112.0
2021-06-16,33498545,12425.0,371.0,600828.0
2021-06-15,33486120,11305.0,312.0,600457.0
2021-06-14,33474815,12730.0,174.0,600145.0
2021-06-13,33462085,4777.0,111.0,599971.0
2021-06-12,33457308,8228.0,286.0,599860.0
2021-06-11,33449080,24699.0,651.0,599574.0
2021-06-10,33424381,14545.0,428.0,598923.0
2021-06-09,33409836,18647.0,447.0,598495.0
2021-06-08,33391189,13013.0,339.0,598048.0
2021-06-07,33378176,15496.0,317.0,597709.0
2021-06-06,33362680,5395.0,169.0,597392.0
2021-06-05,33357285,13906.0,378.0,597223.0
2021-06-04,33343379,16850.0,534.0,596845.0
2021-06-03,33326529,19080.0,618.0,596311.0
2021-06-02,33307449,16917.0,556.0,595693.0
2021-06-01,33290532,22940.0,648.0,595137.0
2021-05-31,33267592,5775.0,152.0,594489.0
2021-05-30,33261817,6734.0,134.0,594337.0
2021-05-29,33255083,12001.0,331.0,594203.0
2021-05-28,33243082,21859.0,565.0,593872.0
2021-05-27,33221223,27448.0,1356.0,593307.0
2021-05-26,33193775,23976.0,981.0,591951.0
2021-05-25,33169799,22739.0,632.0,590970.0
2021-05-24,33147060,25815.0,446.0,590338.0
2021-05-23,33121245,12868.0,197.0,589892.0
2021-05-22,33108377,19798.0,495.0,589695.0
2021-05-21,33088579,27946.0,615.0,589200.0
2021-05-20,33060633,30206.0,682.0,588585.0
2021-05-19,33030427,29301.0,675.0,587903.0
2021-05-18,33001126,27789.0,770.0,587228.0
2021-05-17,32973337,28621.0,400.0,586458.0
2021-05-16,32944716,16875.0,278.0,586058.0
2021-05-15,32927841,28857.0,496.0,585780.0
2021-05-14,32898984,42260.0,655.0,585284.0
2021-05-13,32856724,38076.0,766.0,584629.0
2021-05-12,32818648,35826.0,768.0,583863.0
2021-05-11,32782822,33662.0,686.0,583095.0
2021-05-10,32749160,36798.0,414.0,582409.0
2021-05-09,32712362,21427.0,249.0,581995.0
2021-05-08,32690935,33675.0,629.0,581746.0
2021-05-07,32657260,48130.0,759.0,581117.0
2021-05-06,32609130,47557.0,799.0,580358.0
2021-05-05,32561573,44704.0,794.0,579559.0
2021-05-04,32516869,40723.0,875.0,578765.0
2021-05-03,32476146,50491.0,504.0,577890.0
2021-05-02,32425655,29403.0,337.0,577386.0
2021-05-01,32396252,45391.0,715.0,577049.0
2021-04-30,32350861,57919.0,753.0,576334.0
2021-04-29,32292942,58251.0,873.0,575581.0
2021-04-28,32234691,55150.0,968.0,574708.0
2021-04-27,32179541,50836.0,654.0,573740.0
2021-04-26,32128705,47568.0,494.0,573086.0
2021-04-25,32081137,32153.0,293.0,572592.0
2021-04-24,32048984,53495.0,748.0,572299.0
2021-04-23,31995489,62411.0,784.0,571551.0
2021-04-22,31933078,67278.0,966.0,570767.0
2021-04-21,31865800,62855.0,860.0,569801.0
2021-04-20,31802945,60949.0,842.0,568941.0
2021-04-19,31741996,68105.0,504.0,568099.0
2021-04-18,31673891,42121.0,337.0,567595.0
2021-04-17,31631770,52532.0,697.0,567258.0
2021-04-16,31579238,80071.0,869.0,566561.0
2021-04-15,31499167,74308.0,905.0,565692.0
2021-04-14,31424859,75403.0,955.0,564787.0
2021-04-13,31349456,77966.0,835.0,563832.0
2021-04-12,31271490,70075.0,479.0,562997.0
2021-04-11,31201415,46509.0,305.0,562518.0
2021-04-10,31154906,66687.0,712.0,562213.0
2021-04-09,31088219,82710.0,896.0,561501.0
2021-04-08,31005509,79894.0,1025.0,560605.0
2021-04-07,30925615,75021.0,2593.0,559580.0
2021-04-06,30850594,60674.0,861.0,556987.0
2021-04-05,30789920,77404.0,518.0,556126.0
2021-04-04,30712516,35133.0,297.0,555608.0
2021-04-03,30677383,63261.0,739.0,555311.0
2021-04-02,30614122,69887.0,952.0,554572.0
2021-04-01,30544235,79119.0,1077.0,553620.0
2021-03-31,30465116,66765.0,1077.0,552543.0
2021-03-30,30398351,61429.0,885.0,551466.0
2021-03-29,30336922,69273.0,710.0,550581.0
2021-03-28,30267649,43223.0,525.0,549871.0
2021-03-27,30224426,62842.0,791.0,549346.0
2021-03-26,30161584,77377.0,1151.0,548555.0
2021-03-25,30084207,67546.0,1402.0,547404.0
2021-03-24,30016661,86938.0,1511.0,546002.0
2021-03-23,29929723,53688.0,877.0,544491.0
2021-03-22,29876035,51436.0,722.0,543614.0
2021-03-21,29824599,33822.0,447.0,542892.0
2021-03-20,29790777,55519.0,737.0,542445.0
2021-03-19,29735258,61651.0,1147.0,541708.0
2021-03-18,29673607,60375.0,1660.0,540561.0
2021-03-17,29613232,59280.0,1216.0,538901.0
2021-03-16,29553952,54008.0,1188.0,537685.0
2021-03-15,29499944,56541.0,757.0,536497.0
2021-03-14,29443403,38278.0,578.0,535740.0
2021-03-13,29405125,53031.0,1006.0,535162.0
2021-03-12,29352094,61513.0,1565.0,534156.0
2021-03-11,29290581,62471.0,1553.0,532591.0
2021-03-10,29228110,57895.0,1572.0,531038.0
2021-03-09,29170215,57667.0,1809.0,529466.0
2021-03-08,29112548,44917.0,738.0,527657.0
2021-03-07,29067631,41073.0,699.0,526919.0
2021-03-06,29026558,58254.0,1506.0,526220.0
2021-03-05,28968304,66419.0,1783.0,524714.0
2021-03-04,28901885,68060.0,1941.0,522931.0
2021-03-03,28833825,67191.0,2468.0,520990.0
2021-03-02,28766634,57098.0,1957.0,518522.0
2021-03-01,28709536,58098.0,1521.0,516565.0
2021-02-28,28651438,51422.0,1091.0,515044.0
2021-02-27,28600016,64626.0,1518.0,513953.0
2021-02-26,28535390,77349.0,2067.0,512435.0
2021-02-25,28458041,77504.0,2451.0,510368.0
2021-02-24,28380537,74749.0,3169.0,507917.0
2021-02-23,28305788,72270.0,2282.0,504748.0
2021-02-22,28233518,56159.0,1325.0,502466.0
2021-02-21,28177359,57152.0,1232.0,501141.0
2021-02-20,28120207,71696.0,1823.0,499909.0
2021-02-19,28048511,79282.0,2612.0,498086.0
2021-02-18,27969229,69911.0,2529.0,495474.0
2021-02-17,27899318,70139.0,2409.0,492945.0
2021-02-16,27829179,62498.0,1751.0,490536.0
2021-02-15,27766681,54279.0,959.0,488785.0
2021-02-14,27712402,65135.0,1164.0,487826.0
2021-02-13,27647267,87219.0,2187.0,486662.0
2021-02-12,27560048,99670.0,2910.0,484475.0
2021-02-11,27460378,105764.0,3228.0,481565.0
2021-02-10,27354614,95250.0,3296.0,478337.0
2021-02-09,27259364,95265.0,3073.0,475041.0
2021-02-08,27164099,90438.0,1620.0,471968.0
2021-02-07,27073661,89746.0,1437.0,470348.0
2021-02-06,26983915,104176.0,2670.0,468911.0
